Filename:		Original Size:	LZW:		Ratio:		MyLZW -r:	Ratio:		MyLZW -n:	Ratio:		MyLZW -m:	Ratio:		7ZIP:		Ratio:
all.tar			3,031,040	1,846,854	1.641		1,178,221	2.573		1,792,781	1.691		1,819,874	1.666		828,477		3.659
assig2.doc		87,040		74,574		1.167		40,040		2.174		40,040		2.174		40,040		2.174		20,721		4.201
bmps.tar		1,105,920	925,079		1.195		80,913		13.668		80,913		13.668		80,913		13.668		54,121		20.434
code2.txt		57,699		24,137		2.390		20,514		2.813		20,514		2.813		20,514		2.813		12,331		4.679
code.txt		72,349		30,978		2.335		24,545		2.948		24,545		2.948		24,545		2.948		14,040		5.153
edit.exe		236,328		250,742		0.943		152,227		1.552		156,409		1.511		156,409		1.511		98,272		2.405
frosty.jpg		126,748		177,453		0.714		171,170		0.740		163,789		0.774		163,789		0.774		126,888		0.999
gone_fishing.bmp	17,336		9,278		1.869		8,963		1.934		8,963		1.934		8,963		1.934		8,158		2.125
large.txt		884,736		436,905		2.025		380,333		2.326		364,005		2.431		364,005		2.431		294,890		3.000
Lego-big.gif		93,371		128,973		0.724		122,493		0.762		122,493		0.762		122,493		0.762		92,248		1.012
medium.txt		25,405		13,197		1.925		12,531		2.027		12,531		2.027		12,531		2.027		10,432		2.435
texts.tar		1,382,400	1,012,179	1.366		590,475		2.341		597,847		2.312		597,847		2.312		436,963		3.164
wacky.bmp		921,654		4,302		214.238		3,951		233.271		3,951		233.271		3,951		233.271		2,158		427.087
winnt256.bmp		157,044		159,050		0.987		62,931		2.495		62,931		2.495		62,931		2.495		43,830		3.583
